Side,Type,Metric,Value
head,realistic,hits_at_1,0.011845888441633123
head,realistic,hits_at_3,0.020471535365152387
head,realistic,hits_at_5,0.03001725129384704
head,realistic,hits_at_10,0.041058079355951696
head,realistic,arithmetic_mean_rank,1817.294767107533
head,realistic,geometric_mean_rank,542.1456574859587
head,realistic,median_rank,585.0
head,realistic,harmonic_mean_rank,41.85147267876187
head,realistic,inverse_arithmetic_mean_rank,0.0005502684639276397
head,realistic,inverse_geometric_mean_rank,0.0018445227517586442
head,realistic,inverse_harmonic_mean_rank,0.02389402178689555
head,realistic,inverse_median_rank,0.0017094017094017094
head,realistic,rank_std,2400.203982119135
head,realistic,rank_var,5760979.155780553
head,realistic,rank_mad,519.0
head,realistic,adjusted_arithmetic_mean_rank,0.41391339161808366
head,realistic,adjusted_arithmetic_mean_rank_index,0.5862201279219352
head,pessimistic,hits_at_1,0.011845888441633123
head,pessimistic,hits_at_3,0.020471535365152387
head,pessimistic,hits_at_5,0.03001725129384704
head,pessimistic,hits_at_10,0.041058079355951696
head,pessimistic,arithmetic_mean_rank,1817.295457159287
head,pessimistic,geometric_mean_rank,542.1459917835634
head,pessimistic,median_rank,585.0
head,pessimistic,harmonic_mean_rank,41.85147459076458
head,pessimistic,inverse_arithmetic_mean_rank,0.0005502682549832343
head,pessimistic,inverse_geometric_mean_rank,0.001844521614390579
head,pessimistic,inverse_harmonic_mean_rank,0.023894020695286834
head,pessimistic,inverse_median_rank,0.0017094017094017094
head,pessimistic,rank_std,2400.2044949291144
head,pessimistic,rank_var,5760981.617477925
head,pessimistic,rank_mad,519.0
head,optimistic,hits_at_1,0.011845888441633123
head,optimistic,hits_at_3,0.020471535365152387
head,optimistic,hits_at_5,0.03001725129384704
head,optimistic,hits_at_10,0.041058079355951696
head,optimistic,arithmetic_mean_rank,1817.294077055779
head,optimistic,geometric_mean_rank,542.1453228923516
head,optimistic,median_rank,585.0
head,optimistic,harmonic_mean_rank,41.851470762836215
head,optimistic,inverse_arithmetic_mean_rank,0.0005502686728722038
head,optimistic,inverse_geometric_mean_rank,0.0018445238901351917
head,optimistic,inverse_harmonic_mean_rank,0.02389402288074407
head,optimistic,inverse_median_rank,0.0017094017094017094
head,optimistic,rank_std,2400.203469452596
head,optimistic,rank_var,5760976.69477228
head,optimistic,rank_mad,519.0
both,realistic,hits_at_1,0.384186313973548
both,realistic,hits_at_3,0.40994824611845887
both,realistic,hits_at_5,0.4255894192064405
both,realistic,hits_at_10,0.4490511788384129
both,realistic,arithmetic_mean_rank,920.1901667625071
both,realistic,geometric_mean_rank,33.45604917786469
both,realistic,median_rank,40.0
both,realistic,harmonic_mean_rank,2.4588809956505253
both,realistic,inverse_arithmetic_mean_rank,0.0010867318909941047
both,realistic,inverse_geometric_mean_rank,0.02988996084635192
both,realistic,inverse_harmonic_mean_rank,0.406689059685639
both,realistic,inverse_median_rank,0.025
both,realistic,rank_std,1924.1623355096158
both,realistic,rank_var,3702400.693393819
both,realistic,rank_mad,39.0
both,realistic,adjusted_arithmetic_mean_rank,0.2087186554987672
both,realistic,adjusted_arithmetic_mean_rank_index,0.7914608646194758
both,pessimistic,hits_at_1,0.384186313973548
both,pessimistic,hits_at_3,0.40994824611845887
both,pessimistic,hits_at_5,0.4255894192064405
both,pessimistic,hits_at_10,0.4490511788384129
both,pessimistic,arithmetic_mean_rank,920.1905117883841
both,pessimistic,geometric_mean_rank,33.45605949268989
both,pessimistic,median_rank,40.0
both,pessimistic,harmonic_mean_rank,2.4588809989505105
both,pessimistic,inverse_arithmetic_mean_rank,0.0010867314835234572
both,pessimistic,inverse_geometric_mean_rank,0.029889951630989266
both,pessimistic,inverse_harmonic_mean_rank,0.4066890591398347
both,pessimistic,inverse_median_rank,0.025
both,pessimistic,rank_std,1924.1628162115665
both,pessimistic,rank_var,3702402.5432912265
both,pessimistic,rank_mad,39.0
both,optimistic,hits_at_1,0.384186313973548
both,optimistic,hits_at_3,0.40994824611845887
both,optimistic,hits_at_5,0.4255894192064405
both,optimistic,hits_at_10,0.4490511788384129
both,optimistic,arithmetic_mean_rank,920.1898217366303
both,optimistic,geometric_mean_rank,33.4560388539031
both,optimistic,median_rank,40.0
both,optimistic,harmonic_mean_rank,2.4588809923437687
both,optimistic,inverse_arithmetic_mean_rank,0.0010867322984650578
both,optimistic,inverse_geometric_mean_rank,0.029889970069882806
both,optimistic,inverse_harmonic_mean_rank,0.4066890602325633
both,optimistic,inverse_median_rank,0.025
both,optimistic,rank_std,1924.161854897139
both,optimistic,rank_var,3702398.8438411984
both,optimistic,rank_mad,39.0
tail,realistic,hits_at_1,0.7565267395054629
tail,realistic,hits_at_3,0.7994249568717654
tail,realistic,hits_at_5,0.821161587119034
tail,realistic,hits_at_10,0.857044278320874
tail,realistic,arithmetic_mean_rank,23.08556641748131
tail,realistic,geometric_mean_rank,2.06458764565626
tail,realistic,median_rank,1.0
tail,realistic,harmonic_mean_rank,1.266649959207211
tail,realistic,inverse_arithmetic_mean_rank,0.04331710913719493
tail,realistic,inverse_geometric_mean_rank,0.48435822141236107
tail,realistic,inverse_harmonic_mean_rank,0.7894840975843826
tail,realistic,inverse_median_rank,1.0
tail,realistic,rank_std,185.010548582152
tail,realistic,rank_var,34228.903086668826
tail,realistic,rank_mad,0.0
tail,realistic,adjusted_arithmetic_mean_rank,0.005214722794783204
tail,realistic,adjusted_arithmetic_mean_rank_index,0.9950100367552263
tail,pessimistic,hits_at_1,0.7565267395054629
tail,pessimistic,hits_at_3,0.7994249568717654
tail,pessimistic,hits_at_5,0.821161587119034
tail,pessimistic,hits_at_10,0.857044278320874
tail,pessimistic,arithmetic_mean_rank,23.08556641748131
tail,pessimistic,geometric_mean_rank,2.06458764565626
tail,pessimistic,median_rank,1.0
tail,pessimistic,harmonic_mean_rank,1.266649959207211
tail,pessimistic,inverse_arithmetic_mean_rank,0.04331710913719493
tail,pessimistic,inverse_geometric_mean_rank,0.48435822141236107
tail,pessimistic,inverse_harmonic_mean_rank,0.7894840975843826
tail,pessimistic,inverse_median_rank,1.0
tail,pessimistic,rank_std,185.010548582152
tail,pessimistic,rank_var,34228.903086668826
tail,pessimistic,rank_mad,0.0
tail,optimistic,hits_at_1,0.7565267395054629
tail,optimistic,hits_at_3,0.7994249568717654
tail,optimistic,hits_at_5,0.821161587119034
tail,optimistic,hits_at_10,0.857044278320874
tail,optimistic,arithmetic_mean_rank,23.08556641748131
tail,optimistic,geometric_mean_rank,2.06458764565626
tail,optimistic,median_rank,1.0
tail,optimistic,harmonic_mean_rank,1.266649959207211
tail,optimistic,inverse_arithmetic_mean_rank,0.04331710913719493
tail,optimistic,inverse_geometric_mean_rank,0.48435822141236107
tail,optimistic,inverse_harmonic_mean_rank,0.7894840975843826
tail,optimistic,inverse_median_rank,1.0
tail,optimistic,rank_std,185.010548582152
tail,optimistic,rank_var,34228.903086668826
tail,optimistic,rank_mad,0.0
